Name on PCB,Package,Value,Name,Vender,Part Nbr.,Price One at buy,Quantity,Total,,,,,,,,,,,,,,
,,,Display,Amazon,https://www.amazon.de/dp/B09J7T5SCL?psc=1&ref=ppx_yo2ov_dt_b_product_details,"2,83 €",1,"2,83 €",,One Lamp Total,"51,52 €",,,,,,,,,,,
,,,LED Profile,Amazon,https://www.amazon.de/dp/B07548TMKN?psc=1&ref=ppx_yo2ov_dt_b_product_details,"11,95 €",1,"11,95 €",,,,,,,,,,,,,,
,,,Filament,Amazon,https://www.amazon.de/dp/B083Y5G2GJ?psc=1&ref=ppx_yo2ov_dt_b_product_details,"5,00 €",1,"5,00 €",,,,,,,,,,,,,,
,,,Stativ,Amazon,https://www.amazon.de/dp/B09LQP5XXM?psc=1&ref=ppx_yo2ov_dt_b_product_details,"5,00 €",1,"5,00 €",,,,,,,,,,,,,,
,,,Threaded inserts,Amazon,https://www.amazon.de/dp/B09CL453M5?psc=1&ref=ppx_yo2ov_dt_b_product_details,"0,24 €",2,"0,48 €",,,,,,,,,,,,,,
J1,694106402002,,DC Jack,Reichelt,LUM NEBJ 21,"0,62 €",1,"0,62 €",,,,,,,,,,,,,,
"C7, C9",C0805,100n,,Mouser,581-08055C104K,"0,04 €",2,"0,07 €",,,,,,,,,,,,,,
"C1, C2, C3, C4, C5",C1206,100n,,Mouser,80-C1206104K5RAC7867,"0,04 €",5,"0,19 €",,,,,,,,,,,,,,
"R1, R2, R3, R4, R5, R7, R8, R9",R1206,10k,,Mouser,279-CRG1206F10K,"0,02 €",8,"0,16 €",,,,,,,,,,,,,,
C6,C0805,10uF,,Mouser,80-C0805C106K8P,"0,07 €",1,"0,07 €",,,,,,,,,,,,,,
R11,R0805,115k,Rfbb,Mouser,708-RMCF0805FT22K1,"0,02 €",1,"0,02 €",,,,,,,,,,,,,,
R10,R1206,120,R 120,Reichelt,RND 1551206 AH,"0,02 €",1,"0,02 €",,,,,,,,,,,,,,
L1,SRN6045,15uH,Inductor 15uH,Mouser,963-NRS6045T150MMGK,"0,24 €",1,"0,24 €",,,,,,,,,,,,,,
R6,R1206,20k,R 20 k,Reichelt,SMD 1/4W 20K,"0,06 €",1,"0,06 €",,,,,,,,,,,,,,
R12,R0805,22.1k,Rfbt,Mouser,652-CR0805FX-1153ELF,"0,03 €",1,"0,03 €",,,,,,,,,,,,,,
C8,C0805,4.7uF,"C 4,7u",Mouser,81-GRM21BZ7YA475KE5K,"0,13 €",1,"0,13 €",,,,,,,,,,,,,,
"Q1, Q2, Q3",SOT23,IRLML 0040,Mosfet,Mouser,942-IRLML0040TRPBF,"0,39 €",3,"1,17 €",,,,,,,,,,,,,,
JP1,1X04,,LED Strip,Amazon,https://www.amazon.de/dp/B0B3RQ8LR7?psc=1&ref=ppx_yo2ov_dt_b_product_details,"11,20 €",1,"11,20 €",,,,,,,,,,,,,,
H1,"3,2-PAD",MOUNT-PAD-ROUND3.2,,,,"0,00 €",1,"0,00 €",,,,,,,,,,,,,,
JP2,1X04,OLED,Buchsenleiste,Reichelt,MPE 094-1-004,"0,21 €",1,"0,21 €",,,,,,,,,,,,,,
EN1,PEC11L-4220F-S0015,PEC11L-4220F-S0015,Rotary Encoder,Reichelt,STEC12E08,"2,35 €",1,"2,35 €",,,,,,,,,,,,,,
"J2, J3",555153-1,RJ45 8P8C,RJ45,Mouser,530-SS-90000-013,"1,22 €",2,"2,44 €",,,,,,,,,,,,,,
D1,DO-214AC,SK 14 DIO,Diode SK 14,Reichelt,SK 14 DIO,"0,07 €",1,"0,07 €",,,,,,,,,,,,,,
IC1,SO08,SN 75176BD,SN75176,Mouser,595-SN75176BDR,"1,09 €",1,"1,09 €",,,,,,,,,,,,,,
"TP1, TP2, TP3",PAD.03X.04,TEST-POINT3X4,,,,"0,00 €",3,"0,00 €",,,,,,,,,,,,,,
S1,TL3XYO,TL36YO,Switch,Mouser,611-OS102011MA1QN1,"0,39 €",1,"0,39 €",,,,,,,,,,,,,,1
U2,TEXAS_SOT23-6,TPS560430,Switching Regulator,Mouser,595-LMR54406FDBVR,"0,75 €",1,"0,75 €",,,,,,,,,,,,,,
U1,XIAO-ESP32C3-MODULE14P-2.54-21X17.8MM,XIAO-ESP32C3,Microcontroller,Seeed Studio,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html,"5,00 €",1,"5,00 €",,,,,,,,,,,,,,
